raceMinute,started,atMile0,atMile1,atMile2,atMile3,atMile4,atMile5,atMile6,atMile7,atMile8,atMile9,atMile10,atMile11,atMile12,atMile13,atMile14,atMile15,atMile16,atMile17,atMile18,atMile19,atMile20,atMile21,atMile22,atMile23,atMile24,atMile25,atMile26,finished
90,40000,0,120,3800,7760,7320,4400,2720,2640,4400,3480,1760,1240,200,120,40,0,0,0,0,0,0,0,0,0,0,0,0,0
92,40000,0,40,3120,7000,7760,4840,2720,2760,3720,4040,2120,1400,320,120,0,40,0,0,0,0,0,0,0,0,0,0,0,0
94,40000,0,40,2120,6440,8200,5280,2920,2560,3800,3680,2640,1640,480,120,40,40,0,0,0,0,0,0,0,0,0,0,0,0
96,40000,0,0,1560,6160,7640,5840,3520,2240,3640,3960,2640,1720,800,120,120,40,0,0,0,0,0,0,0,0,0,0,0,0
98,40000,0,0,800,5800,7360,6280,4120,2320,2920,4120,3120,1640,1120,240,120,0,40,0,0,0,0,0,0,0,0,0,0,0
100,40000,0,0,480,5160,7200,6440,4120,2720,2720,3920,3480,1880,1360,320,160,0,40,0,0,0,0,0,0,0,0,0,0,0
102,40000,0,0,320,4160,7120,6800,4360,2960,2600,3520,3640,2360,1440,440,200,40,40,0,0,0,0,0,0,0,0,0,0,0
104,40000,0,0,200,3440,6840,6920,4840,2840,2600,3640,3480,2520,1640,720,160,120,0,40,0,0,0,0,0,0,0,0,0,0
106,40000,0,0,160,2680,6000,7520,5160,3120,2480,3480,3520,2800,1640,1000,280,120,0,40,0,0,0,0,0,0,0,0,0,0
108,40000,0,0,120,2120,5880,6640,5680,3880,2360,2920,3920,3000,1680,1280,320,120,40,40,0,0,0,0,0,0,0,0,0,0
110,40000,0,0,40,1600,5440,6560,5840,3960,3000,2480,3600,3320,2080,1360,440,120,120,0,40,0,0,0,0,0,0,0,0,0
112,40000,0,0,40,960,4800,6920,5880,4160,3200,2400,3400,3360,2360,1480,720,160,120,0,40,0,0,0,0,0,0,0,0,0
114,40000,0,0,40,600,4440,6360,6280,4560,3040,2600,3320,3200,2520,1640,960,280,80,40,40,0,0,0,0,0,0,0,0,0
116,40000,0,0,0,520,3680,6280,6720,4440,3080,2600,3280,3400,2720,1520,1240,320,120,40,40,0,0,0,0,0,0,0,0,0
118,40000,0,0,0,360,3000,5640,6480,5200,3400,2760,2720,3560,2840,2000,1320,440,120,120,0,40,0,0,0,0,0,0,0,0
120,40000,0,0,0,160,2600,5520,5960,5480,3760,3040,2480,3480,3040,2080,1360,720,160,120,0,40,0,0,0,0,0,0,0,0
122,40000,0,0,0,160,2160,5080,5880,5680,3960,3160,2400,3200,3160,2280,1560,880,240,120,40,40,0,0,0,0,0,0,0,0
124,40000,0,0,0,160,1680,4440,6240,5480,4440,3000,2520,3240,3040,2600,1400,1240,240,160,80,0,40,0,0,0,0,0,0,0
126,40000,0,0,0,80,1120,4080,6000,6160,4280,3360,2360,3200,3200,2600,1560,1280,440,120,120,0,40,0,0,0,0,0,0,0
128,40000,0,0,0,40,680,3960,5520,6240,4560,3120,2880,2600,3360,2840,2000,1160,680,200,80,40,40,0,0,0,0,0,0,0
130,40000,0,0,0,40,560,3400,5080,5960,5000,3560,2960,2520,3320,2880,2080,1360,840,240,80,80,0,40,0,0,0,0,0,0
132,40000,0,0,0,40,480,2840,5040,5480,5360,3800,3080,2520,3000,3040,2240,1360,1200,240,120,120,0,40,0,0,0,0,0,0
134,40000,0,0,0,40,360,2440,4640,5640,5280,4120,3280,2200,3160,2960,2560,1480,1120,440,120,80,40,40,0,0,0,0,0,0
136,40000,0,0,0,40,160,2160,4240,5760,5520,4040,3200,2440,3040,3200,2160,1920,1120,600,240,80,40,0,40,0,0,0,0,0
138,40000,0,0,0,0,160,1760,3680,5600,5800,4160,3280,2680,2720,3080,2760,1800,1280,800,240,80,80,0,40,0,0,0,0,0
140,40000,0,0,0,0,160,1200,3600,5200,5520,4840,3040,3200,2520,3040,2680,2120,1280,1080,240,120,120,0,40,0,0,0,0,0
