Mile,Minute,Runners
15,42,0
16,42,0
17,42,0
18,42,0
19,42,0
20,42,0
21,42,0
22,42,0
23,42,0
24,42,0
25,42,0
0,44,9120
1,44,4160
2,44,2160
3,44,6360
4,44,5000
5,44,1880
6,44,240
7,44,40
8,44,0
9,44,0
10,44,0
11,44,0
12,44,0
13,44,0
14,44,0
15,44,0
16,44,0
17,44,0
18,44,0
19,44,0
20,44,0
21,44,0
22,44,0
23,44,0
24,44,0
25,44,0
0,46,9280
1,46,5800
2,46,1400
3,46,5680
4,46,5640
5,46,2520
6,46,400
7,46,40
8,46,0
9,46,0
10,46,0
11,46,0
12,46,0
13,46,0
14,46,0
15,46,0
16,46,0
17,46,0
18,46,0
19,46,0
20,46,0
21,46,0
22,46,0
23,46,0
24,46,0
25,46,0
0,48,9680
1,48,7000
2,48,920
3,48,5000
4,48,5720
5,48,3240
6,48,680
7,48,160
8,48,0
9,48,0
10,48,0
11,48,0
12,48,0
13,48,0
14,48,0
15,48,0
16,48,0
17,48,0
18,48,0
19,48,0
20,48,0
21,48,0
22,48,0
23,48,0
24,48,0
25,48,0
0,50,9680
1,50,8040
2,50,1080
3,50,4200
4,50,6080
5,50,3280
6,50,1440
7,50,160
8,50,40
9,50,0
10,50,0
11,50,0
12,50,0
13,50,0
14,50,0
15,50,0
16,50,0
17,50,0
18,50,0
19,50,0
20,50,0
21,50,0
22,50,0
23,50,0
24,50,0
25,50,0
0,52,8720
1,52,8960
2,52,1880
3,52,3200
4,52,6160
5,52,3960
6,52,1760
7,52,280
8,52,40
9,52,0
10,52,0
11,52,0
12,52,0
13,52,0
14,52,0
15,52,0
16,52,0
17,52,0
18,52,0
19,52,0
20,52,0
21,52,0
22,52,0
23,52,0
24,52,0
25,52,0
0,54,8600
1,54,9480
2,54,3280
3,54,2360
4,54,5400
5,54,4920
6,54,2320
7,54,440
8,54,80
9,54,0
10,54,0
11,54,0
12,54,0
13,54,0
14,54,0
15,54,0
16,54,0
17,54,0
18,54,0
19,54,0
20,54,0
21,54,0
22,54,0
23,54,0
24,54,0
25,54,0
0,56,8440
1,56,9440
2,56,4840
3,56,1880
4,56,5040
5,56,5200
6,56,2640
7,56,760
8,56,120
9,56,40
10,56,0
11,56,0
12,56,0
13,56,0
14,56,0
15,56,0
16,56,0
17,56,0
18,56,0
19,56,0
20,56,0
21,56,0
22,56,0
23,56,0
24,56,0
25,56,0
0,58,7920
1,58,9760
2,58,5880
3,58,1520
4,58,4600
5,58,5280
6,58,2840
7,58,1440
8,58,200
9,58,40
10,58,0
11,58,0
12,58,0
13,58,0
14,58,0
15,58,0
16,58,0
17,58,0
18,58,0
19,58,0
20,58,0
21,58,0
22,58,0
23,58,0
24,58,0
25,58,0
0,60,7000
1,60,9800
2,60,6800
3,60,1560
4,60,3760
5,60,5840
6,60,3200
7,60,1680
8,60,320
9,60,40
10,60,0
11,60,0
12,60,0
13,60,0
14,60,0
15,60,0
16,60,0
17,60,0
18,60,0
19,60,0
20,60,0
21,60,0
22,60,0
23,60,0
24,60,0
25,60,0
0,62,5960
1,62,9280
2,62,7480
3,62,2160
4,62,3080
5,62,5400
6,62,3920
7,62,2160
8,62,400
9,62,120
10,62,40
11,62,0
12,62,0
13,62,0
14,62,0
15,62,0
16,62,0
17,62,0
18,62,0
19,62,0
20,62,0
21,62,0
22,62,0
23,62,0
24,62,0
25,62,0
0,64,4520
1,64,8800
2,64,8280
3,64,3040
4,64,2400
5,64,4920
6,64,4640
7,64,2360
8,64,840
