raceMinute,started,atMile0,atMile1,atMile2,atMile3,atMile4,atMile5,atMile6,atMile7,atMile8,atMile9,atMile10,atMile11,atMile12,atMile13,atMile14,atMile15,atMile16,atMile17,atMile18,atMile19,atMile20,atMile21,atMile22,atMile23,atMile24,atMile25,atMile26,finished
47,33180,8440,7880,340,3720,6300,3980,2220,280,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,33940,8200,8480,660,3320,5980,4160,2660,460,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,34700,8380,8440,1200,2800,5860,4460,2820,720,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,35460,8120,8540,2100,2080,6120,4500,3020,920,40,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,35460,7180,8480,3100,1820,5500,4800,3260,1200,100,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,36440,7420,8380,3920,1480,5140,5120,3400,1380,180,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,37420,7480,8340,4880,1140,4800,5320,3500,1720,220,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,38400,7520,8380,5780,860,4400,5460,3620,2000,360,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,39360,7920,8280,6300,840,3860,5740,3520,2360,520,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,39880,7820,8040,6920,860,3440,5840,3580,2600,740,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,40380,7480,8140,7200,1160,3220,5300,4120,2780,860,100,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,40900,7160,8140,7600,1520,2760,5360,4180,2880,1120,160,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,41400,6880,7980,7680,2260,2220,5300,4380,3120,1360,200,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,41400,6300,7880,7640,2920,1960,4940,4740,3100,1660,240,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,41400,5940,7340,7820,3600,1600,4840,4740,3220,1900,380,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,41400,5360,7220,7680,4360,1500,4200,5120,3340,2020,560,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,41400,4380,7400,7680,5060,1280,3860,5340,3200,2340,760,80,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,41400,3560,7480,7760,5560,1260,3560,5460,3240,2500,880,120,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,41400,2660,7660,7700,5940,1460,3220,5060,3840,2560,1100,180,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,41400,1920,7800,7440,6420,1660,3000,4840,4040,2760,1300,200,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,41400,1340,7620,7540,6520,2060,2800,4660,4100,2940,1500,300,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,41400,760,7600,7220,6960,2480,2280,4680,4380,2920,1680,400,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,41400,500,7120,7260,7040,3020,1920,4440,4560,3080,1800,580,60,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,41400,160,6820,7140,7120,3600,1720,4240,4660,2920,2160,740,100,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,41400,20,6320,7140,7120,4000,1680,3920,4840,3000,2300,860,180,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,41400,0,5760,7040,7080,4520,1680,3480,5060,3040,2440,1100,180,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,41400,0,5100,6960,7000,5020,1700,3280,4920,3420,2460,1300,220,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,41400,0,4360,6960,7200,5180,1900,3100,4540,3720,2680,1380,340,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,41400,0,3640,7020,7020,5460,2360,2840,4380,3900,2760,1480,480,40,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,41400,0,2820,7240,6920,5960,2340,2540,4400,3960,2840,1680,580,100,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
